matrix_idx;dimension;resolution;original_eigenvalues;reconstructed_eigenvalues;original_eigenvectors;reconstructed_eigenvectors;depth;job_ids;n_qubits
1;4;4;[7.465007234463866, 0.48233901065085066, 0.24974002536729784, 0.0015889072949292849];[6.661423581943762, 3.5869203902774105, 1.5372515958331758];[[-0.621250026966577, -0.4203267886906158, -0.45193191780554737, -0.4828367595488784], [-0.5144808333953713, -0.32463932666128587, 0.18443286014078744, 0.7719477312318495], [-0.13698228337168222, 0.595482261867079, -0.7191069374678571, 0.33094099523864834]];[[-0.5628991244684364, 0.5761363348009495, -0.5538550276711633, -0.5098499390124227], [0.5710764626692524, 0.5210564629593168, 0.5367987653533566, 0.45734275002458874], [0.5490926349633806, 0.5218521533445281, 0.518771456106509, 0.5092886786744878]];1657+16673;('ckc0bc9rj4hqss6sm9ug', 'ckc0m6kl5kg2t9tgb13g');27
paper;2;6;[2.0, 1.0];[2.765625, 2.015625];[[0.7071067811865475, 0.7071067811865475], [-0.7071067811865475, 0.7071067811865475]];[[-0.6994158432914325, -0.7123134552911281], [-0.7175256829067447, -0.6685934460311758]];553+8732;('ckftoivu81h8llpgff60', 'ckfu5in7lhfc2h9j98f0');127
3;4;4;[4.647071393343876, 0.5238941243476812, 0.29437078485282375, 0.015930425491256128];[4.453529216528956, 3.0832125345200465, 1.712895852511137];[[-0.27669966574621346, -0.4827448277628779, -0.4708359129173351, -0.6846227204463952], [-0.3038105915581725, 0.7721623551912427, 0.16297368327862044, -0.5337639930167513], [0.8822920793372253, 0.20746301679841336, -0.30291613072643797, -0.2945532229418317]];[[-0.4651349582462071, -0.5147757453160634, 0.530796259583266, 0.4953457136665082], [0.48496860099616623, 0.501869528121541, -0.5211077010789309, 0.533413687474817], [-0.5451350528901587, 0.4650053333522879, 0.49718041995172124, 0.5075621821092853]];1657+16687;('ckkm1gcugl1jd71i7i0g', 'ckkm5qsugl1jd71i7jj0');127
paper;4;4;[3.0, 2.0, 1.0, 0.0];[4.5, 3.0, 1.875, 1.125];[[0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0], [0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0]];[[0.10362704315138672, 0.20928367603291395, -0.41662071696343955, -0.8405643065669075], [0.08769858450632745, -0.1807678185011848, -0.22022928812454193, -0.9213067204852885], [0.1508477716666052, 0.0711706955108585, -0.7501898544242964, 0.2587332315371497], [-0.26024774820366964, -0.8515874845292555, 0.133145504287892, 0.0]];155+6516;('ck6v0qrl5r7th0mrqbi0', 'ck7pt2k93b05s1c38ik0');27
1;4;6;[7.465007234463866, 0.48233901065085066, 0.24974002536729784, 0.0015889072949292849];[6.661423581943762, 6.149006383332703, 4.099337588888469];[[-0.621250026966577, -0.4203267886906158, -0.45193191780554737, -0.4828367595488784], [-0.5144808333953713, -0.32463932666128587, 0.18443286014078744, 0.7719477312318495], [-0.13698228337168222, 0.595482261867079, -0.7191069374678571, 0.33094099523864834]];[[0.6405762855300948, -0.5391492801721839, 0.6657676097104852, 0.5438500223676991], [0.5640729292390995, -0.5995871815526996, 0.6532984067720462, -0.6521854983050017], [0.5289188336182759, -0.6188262960376119, -0.665535892880505, -0.534179065558731]];6789+67724;('ckekh08m3kt305s3f0f0', 'ckel9gah9ipuhtuim1vg');27
4;4;4;[4.5754874979186155, 0.7518300393253984, 0.5265858236214528, 0.21054565488857224];[3.790280634846276, 2.2741683809077653, 1.5161122539385103, 0.7580561269692552];[[0.40993371081375524, 0.5484918340075415, 0.4841446186463181, 0.5447155670635081], [0.6984568147744997, -0.6249783511429491, -0.20260018069967126, 0.2837486656852529], [0.580664873830746, 0.2972087792507045, 0.023985045294520016, -0.7575750546564016], [0.08331107328949877, 0.4692821221461462, -0.8508712432668597, 0.22102416673945283]];[[-0.5078535299865484, -0.5260457108577685, 0.49427688546250165, 0.5183563267692701], [-0.5021824782671026, -0.4630109152038073, -0.5307294442001633, -0.4993341812077803], [-0.5323525877421481, -0.528065326125897, -0.5110355860899906, -0.5082512630745399], [0.5345504850220153, 0.4583511288116948, -0.5218810909641909, 0.5098167305749102]];1657+16689;('ckkltsmpb91m223kr820', 'ckklumupb91m223kr8i0');27
3;4;4;[4.647071393343876, 0.5238941243476812, 0.29437078485282375, 0.015930425491256128];[3.425791705022274, 2.7406333640178193, 1.3703166820089097, 0.6851583410044548];[[-0.27669966574621346, -0.4827448277628779, -0.4708359129173351, -0.6846227204463952], [-0.3038105915581725, 0.7721623551912427, 0.16297368327862044, -0.5337639930167513], [0.8822920793372253, 0.20746301679841336, -0.30291613072643797, -0.2945532229418317], [0.22955850272164188, -0.3573259368624164, 0.8124007258807829, -0.3995323882515298]];[[-0.43212894324750895, -0.46320336509724686, -0.5510100959550226, -0.49594020895389945], [-0.558520044830122, -0.4439213991312937, 0.44592969324899695, -0.4250372398486691], [-0.5438573882254348, 0.4596627501374494, 0.4773431929619686, 0.4352747792191865], [0.5057444063530484, 0.4166116681653395, -0.5272952388189013, 0.46258806607465697]];1657+16687;('ckklr4e37u83m48q149g', 'ckklrpmpb91m223kr7eg');27
2;4;4;[3.7424755894562183, 0.7517637942547681, 0.5056090053711624, 0.1094714812548008];[2.8739924270645343, 1.9159949513763563, 0.6386649837921188];[[0.364300415157548, 0.43707907124695006, 0.687729727334072, 0.4508601946667558], [0.867935938499908, -0.4558011413019028, -0.043978714963024766, -0.1923496786541839], [-0.2712522694967462, -0.76088619792945, 0.29129939922038445, 0.5124637158933045]];[[-0.4453167040247834, 0.43892416582360605, -0.5259481569136937, -0.45533147954120523], [-0.5064206270898318, -0.5263429107417371, 0.5321599524291969, 0.4626406231489943], [-0.5094628770159005, 0.4020389274469114, -0.5297746316131231, 0.40066388144659565]];1657+16673;('ckejbfih9ipuhtuilai0', 'ckek6mih9ipuhtuiljd0');27
paper;4;6;[3.0, 2.0, 1.0, 0.0];[4.03125, 3.0, 1.03125];[[0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0], [0.0, 1.0, 0.0, 0.0]];[[-0.42729973499658297, -0.7952342465568242, 0.09218801050777313, -0.25830079715569876], [0.13511027688046576, -0.25139268297105344, -0.2520271329706235, -0.8028167265753784], [-0.3053910543998214, -0.8750959226992643, 0.08313759015834209, -0.2437716241194948]];459+25308;('ckamsflao343i0m5nd80', 'ckankcgmab1c4c88jkb0');27
4;2;6;[0.46156115650062846, 0.16734926345099327];[0.4618560896519722, 0.3046284846640668];[[0.7286578412611613, 0.6848779090966682], [-0.6848779090966683, 0.7286578412611614]];[[-0.747739584964199, -0.6855690158869565], [-0.7607871977566626, -0.6820849101813173]];679+8752;('ckjb5777lhfc2h9khtig', 'ckjbkp7mhqvq1icsr7h0');27
